frame	time	x	y	burst
84385	34	317	46	0
84386	98	318	47	0
84387	158	318	47	0
84388	214	319	48	0
84389	276	319	48	0
84390	347	321	50	0
84391	405	323	52	0
84392	467	325	54	0
84393	524	328	57	0
84394	580	331	60	0
84395	651	333	61	0
84396	707	335	63	0
84397	762	337	64	0
84398	824	339	66	0
84399	884	340	66	0
84400	943	341	67	0
84401	1002	341	68	0
84402	1057	343	71	0
84403	1130	344	72	0
84404	1193	344	75	0
84405	1246	344	75	0
84406	1311	344	75	0
84407	1369	344	75	0
84408	1429	344	75	0
84409	1487	344	75	0
84410	1546	344	75	0
84411	1604	343	76	0
84412	1660	343	76	0
84413	1737	342	77	0
84414	1802	342	77	0
84415	1866	342	77	0
84416	1936	342	77	0
84417	1993	343	77	0
84418	2053	342	78	0
84419	2117	342	78	0
84420	2172	342	78	0
84421	2229	342	78	0
84422	2296	342	78	0
84423	2353	342	78	0
84424	2408	342	78	0
84425	2471	342	78	0
84426	2531	342	78	0
84427	2585	342	78	0
84428	2651	343	78	0
84429	2716	343	78	0
84430	2785	343	78	0
84431	2841	343	78	0
84432	2910	343	78	0
84433	2973	343	78	0
84434	3039	343	78	0
84435	3102	343	78	0
84436	3158	343	78	0
84437	3216	343	78	0
84438	3298	343	77	0
84439	3352	342	78	0
84440	3409	342	78	0
84441	3470	342	78	0
84442	3526	342	78	0
84443	3592	342	78	0
84444	3657	342	79	0
84445	3709	342	78	0
84446	3769	343	78	0
84447	3829	342	79	0
84448	3886	342	78	0
84449	3952	342	78	0
84450	4010	342	78	0
84451	4069	342	79	0
84452	4125	342	79	0
84453	4185	342	79	0
84454	4243	342	79	0
84455	4302	342	79	0
84456	4358	342	79	0
84457	4414	342	79	0
84458	4477	342	79	0
84459	4535	342	79	0
84460	4598	342	79	0
84461	4661	342	79	0
84462	4727	342	79	0
84463	4793	342	79	0
84464	4857	342	79	0
84465	4910	342	79	0
84466	4967	342	79	0
84467	5030	342	79	0
84468	5086	342	79	0
84469	5152	342	79	0
84470	5216	342	79	0
84471	5273	342	79	0
84472	5329	342	79	0
84473	5388	342	79	0
84474	5446	342	79	0
84475	5504	342	79	0
84476	5558	342	79	0
84477	5623	342	79	0
84478	5690	342	79	0
84479	5744	342	79	0
84480	5808	342	79	0
84481	5872	342	79	0
84482	5938	341	79	0
84483	5992	341	79	0
84484	6060	341	79	0
84485	6120	341	80	0
84486	6172	341	80	0
84487	6230	341	80	0
84488	6299	341	80	0
84489	6360	341	80	0
84490	6425	341	79	0
84491	6490	341	80	0
84492	6545	341	80	0
84493	6607	341	80	0
84494	6670	341	79	0
84495	6725	341	80	0
84496	6784	341	80	0
84497	6840	341	80	0
84498	6897	341	80	0
84499	6956	341	80	0
84500	7016	341	80	0
84501	7070	341	80	0
84502	7135	341	80	0
84503	7190	341	80	0
84504	7252	341	80	0
84505	7307	341	80	0
84506	7368	341	80	0
84507	7423	341	80	0
84508	7482	341	80	0
84509	7537	341	80	0
84510	7596	341	80	0
84511	7657	341	80	0
84512	7717	341	80	0
84513	7772	341	80	0
84514	7829	341	81	0
84515	7889	341	81	0
84516	7946	341	82	0
84517	8018	341	84	0
84518	8072	340	86	0
84519	8132	339	89	0
84520	8191	339	90	0
84521	8252	338	94	0
84522	8309	338	98	0
84523	8366	337	103	0
84524	8425	336	107	0
84525	8490	336	109	0
84526	8556	335	116	0
84527	8612	335	119	0
84528	8683	334	123	0
84529	8748	333	128	0
84530	8818	332	133	0
84531	8872	332	137	0
84532	8937	332	142	0
84533	9000	332	146	0
84534	9063	333	151	0
84535	9117	334	156	0
84536	9175	334	159	0
84537	9234	335	163	0
84538	9316	335	166	0
84539	9381	337	169	0
84540	9443	337	172	0
84541	9515	338	175	0
84542	9570	338	178	0
84543	9629	339	183	0
84544	9689	340	187	0
84545	9745	340	192	0
84546	9801	340	195	0
84547	9860	341	200	0
84548	9930	341	204	0
84549	9986	343	210	0
84550	10047	344	212	0
84551	10104	344	216	0
84552	10166	344	218	0
84553	10230	344	220	0
84554	10284	344	221	0
84555	10344	344	221	0
84556	10401	344	221	0
84557	10458	344	221	0
84558	10516	344	221	0
84559	10573	344	221	0
84560	10633	344	222	0
84561	10693	344	224	0
84562	10757	344	224	0
84563	10822	345	226	0
84564	10885	345	230	0
84565	10940	346	235	0
84566	10998	347	238	0
84567	11061	347	243	0
84568	11120	348	247	0
84569	11188	349	250	0
84570	11253	350	257	0
84571	11317	352	263	0
84572	11371	352	265	0
84573	11441	354	271	0
84574	11492	355	277	0
84575	11557	356	282	0
84576	11613	357	284	0
84577	11670	358	290	0
84578	11733	360	295	0
84579	11788	361	300	0
84580	11846	362	303	0
84581	11905	363	309	0
84582	11966	364	314	0
84583	12024	366	320	0
84584	12095	368	326	0
84585	12147	370	330	0
84586	12209	371	332	0
84587	12292	373	337	0
84588	12349	374	341	0
84589	12407	377	347	0
84590	12474	379	351	0
84591	12537	380	356	0
84592	12590	382	361	0
84593	12650	383	363	0
84594	12715	385	368	0
84595	12770	387	372	0
84596	12829	389	377	0
84597	12901	391	382	0
84598	12953	393	388	0
84599	13023	394	389	0
84600	13080	393	393	0
84601	13137	393	393	0
84602	13200	392	395	0
84603	13258	392	395	0
84604	13315	392	395	0
84605	13376	392	395	0
84606	13435	392	396	0
84607	13501	392	396	0
84608	13555	392	396	0
84609	13611	392	396	0
84610	13672	392	396	0
84611	13735	392	396	0
84612	13794	392	396	0
84613	13852	392	396	0
84614	13910	392	397	0
84615	13969	392	397	0
84616	14024	391	399	0
84617	14084	391	401	0
84618	14140	391	402	0
84619	14207	389	407	0
84620	14270	388	409	0
84621	14335	386	409	0
84622	14392	385	408	0
84623	14456	384	408	0
84624	14523	382	409	0
84625	14582	378	410	0
84626	14638	379	410	0
84627	14698	375	412	0
84628	14757	374	413	0
84629	14828	370	415	0
84630	14883	367	417	0
84631	14939	365	418	0
84632	15008	362	420	0
84633	15072	358	422	0
84634	15125	353	424	0
84635	15187	348	425	0
84636	15247	346	425	0
84637	15367	345	424	0
84638	15528	345	424	0
84639	15679	346	425	0
84640	15774	348	426	0
84641	15829	348	426	0
84642	15893	348	426	0
84643	15951	348	424	0
84644	16021	348	423	0
84645	16083	348	423	0
84646	16141	348	423	0
84647	16202	348	423	0
84648	16259	349	423	0
84649	16316	349	423	0
84650	16375	349	423	0
84651	16434	349	423	0
84652	16491	349	423	0
84653	16549	349	423	0
84654	16605	349	422	0
84655	16664	349	421	0
84656	16742	350	420	0
84657	16801	350	419	0
84658	16861	351	418	0
84659	16915	352	417	0
84660	16973	352	417	0
84661	17034	352	417	0
84662	17099	352	416	0
84663	17156	352	412	0
84664	17217	352	410	0
84665	17276	353	406	0
84666	17333	353	401	0
84667	17394	353	396	0
84668	17455	353	392	0
84669	17514	354	387	0
84670	17575	354	380	0
84671	17636	355	374	0
84672	17695	355	369	0
84673	17752	355	366	0
84674	17810	356	360	0
84675	17880	358	355	0
84676	17945	358	349	0
84677	18003	359	344	0
84678	18061	359	338	0
84679	18118	360	333	0
84680	18179	361	330	0
84681	18250	361	324	0
84682	18334	361	318	0
84683	18388	362	309	0
84684	18447	362	306	0
84685	18503	362	301	0
84686	18564	363	296	0
84687	18625	363	293	0
84688	18686	363	287	0
84689	18753	363	281	0
84690	18808	363	276	0
84691	18864	363	270	0
84692	18931	363	267	0
84693	18984	363	262	0
84694	19043	362	257	0
84695	19103	362	252	0
84696	19159	361	247	0
84697	19219	361	241	0
84698	19278	361	236	0
84699	19341	361	234	0
84700	19405	361	227	0
84701	19469	361	223	0
84702	19525	360	218	0
84703	19586	361	215	0
84704	19645	361	210	0
84705	19701	361	205	0
84706	19767	361	199	0
84707	19820	362	194	0
84708	19879	362	191	0
84709	19938	364	186	0
84710	19998	364	182	0
84711	20053	364	177	0
84712	20112	364	174	0
84713	20170	364	169	0
84714	20232	364	165	0
