frame	time	x	y	burst
70796	33	405	68	0
70797	76	402	66	0
70798	117	401	66	0
70799	159	401	66	0
70800	201	399	65	0
70801	241	399	66	0
70802	287	399	66	0
70803	328	398	65	0
70804	370	398	66	0
70805	412	398	65	0
70806	453	398	66	0
70807	495	398	66	0
70808	537	398	66	0
70809	600	395	66	0
70810	669	395	66	0
70811	719	395	66	0
70812	759	393	66	0
70813	805	392	66	0
70814	855	391	65	0
70815	897	391	64	0
70816	938	392	64	0
70817	979	394	63	0
70818	1020	394	63	0
70819	1061	395	63	0
70820	1104	396	64	0
70821	1145	398	64	0
70822	1186	399	64	0
70823	1228	399	65	0
70824	1270	399	67	0
70825	1311	399	68	0
70826	1352	400	69	0
70827	1393	401	70	0
70828	1436	402	71	0
70829	1477	402	72	0
70830	1519	403	73	0
70831	1560	403	74	0
70832	1602	403	75	0
70833	1647	402	77	0
70834	1687	401	78	0
70835	1728	401	79	0
70836	1770	400	81	0
70837	1813	400	80	0
70838	1855	395	83	0
70839	1896	394	83	0
70840	1938	390	86	0
70841	1979	386	86	0
70842	2021	384	85	0
70843	2064	382	85	0
70844	2107	382	85	0
70845	2147	378	85	0
70846	2188	376	85	0
70847	2230	375	85	0
70848	2272	373	85	0
70849	2313	373	85	0
70850	2354	371	85	0
70851	2396	368	85	0
70852	2438	364	85	0
70853	2479	359	83	0
70854	2520	358	82	0
70855	2561	354	81	0
70856	2603	354	79	0
70857	2645	350	76	0
70858	2687	346	75	0
70859	2733	344	74	0
70860	2774	340	71	0
70861	2816	339	70	0
70862	2856	336	70	0
70863	2897	332	68	0
70864	2940	331	66	0
70865	2981	327	60	0
70866	3023	326	58	0
70867	3064	324	55	0
70868	3105	320	50	0
70869	3153	320	50	0
70870	3195	318	48	0
70871	3236	317	47	0
70872	3278	317	47	0
70873	3318	317	47	0
70874	3359	317	47	0
70875	3401	317	47	0
70876	3442	316	47	0
70877	3483	316	47	0
70878	3524	315	47	0
70879	3566	315	47	0
70880	3608	313	47	0
70881	3653	312	47	0
70882	3695	311	47	0
70883	3736	309	47	0
70884	3778	307	47	0
70885	3819	306	46	0
70886	3860	304	46	0
70887	3902	303	46	0
70888	3943	300	46	0
70889	4000	298	46	0
70890	4041	296	46	0
70891	4082	294	47	0
70892	4123	295	47	0
70893	4164	293	49	0
70894	4208	293	50	0
70895	4248	292	53	0
70896	4290	291	55	0
70897	4334	290	57	0
70898	4374	289	61	0
70899	4415	289	63	0
70900	4456	290	65	0
70901	4497	291	67	0
70902	4539	290	70	0
70903	4580	290	73	0
70904	4622	290	74	0
70905	4663	291	76	0
70906	4706	291	77	0
70907	4747	291	81	0
70908	4788	291	83	0
70909	4831	291	84	0
70910	4873	291	87	0
70911	4914	291	93	0
70912	4955	289	95	0
70913	4996	289	98	0
70914	5040	288	100	0
70915	5080	285	105	0
70916	5121	284	107	0
70917	5163	282	109	0
70918	5206	280	111	0
70919	5247	276	115	0
70920	5288	273	117	0
70921	5329	272	118	0
70922	5370	270	119	0
70923	5411	265	123	0
70924	5452	263	125	0
70925	5502	261	127	0
70926	5542	258	129	0
70927	5583	255	130	0
70928	5626	255	130	0
70929	5667	252	131	0
70930	5708	249	133	0
70931	5749	249	134	0
70932	5790	248	135	0
70933	5836	245	139	0
70934	5877	243	141	0
70935	5919	241	144	0
70936	5960	241	146	0
70937	6003	241	150	0
70938	6044	240	155	0
70939	6085	240	157	0
70940	6127	240	159	0
70941	6168	238	162	0
70942	6209	237	164	0
70943	6250	236	168	0
70944	6291	236	170	0
70945	6334	234	173	0
70946	6375	233	178	0
70947	6415	231	181	0
70948	6456	230	182	0
70949	6499	228	185	0
70950	6540	227	184	0
70951	6581	222	186	0
70952	6623	219	187	0
70953	6664	215	188	0
70954	6705	211	189	0
70955	6746	208	189	0
70956	6788	204	190	0
70957	6830	201	190	0
70958	6873	200	190	0
70959	6914	195	190	0
70960	6955	194	190	0
70961	6996	192	190	0
70962	7040	188	191	0
70963	7080	185	192	0
70964	7121	183	192	0
70965	7163	179	193	0
70966	7205	177	193	0
70967	7247	173	192	0
70968	7287	170	191	0
70969	7328	170	190	0
70970	7370	167	190	0
70971	7411	165	189	0
70972	7452	165	189	0
70973	7494	161	189	0
70974	7538	158	188	0
70975	7579	155	188	0
70976	7621	152	187	0
70977	7663	151	187	0
70978	7705	148	188	0
70979	7746	143	189	0
70980	7788	141	190	0
70981	7832	137	191	0
70982	7873	135	192	0
70983	7914	133	193	0
70984	7955	130	194	0
70985	7998	127	195	0
70986	8041	125	196	0
70987	8082	121	198	0
70988	8123	120	199	0
70989	8164	119	199	0
70990	8206	120	199	0
70991	8247	120	199	0
70992	8288	118	200	0
70993	8331	118	200	0
70994	8373	118	201	0
70995	8415	117	204	0
70996	8456	117	206	0
70997	8505	116	208	0
70998	8546	116	209	0
70999	8587	116	211	0
