frame	time	x	y	burst
122190	33	382	194	0
122191	97	381	193	0
122192	167	379	193	0
122193	235	375	193	0
122194	275	372	193	0
122195	316	371	192	0
122196	358	371	190	0
122197	400	370	190	0
122198	441	364	187	0
122199	496	361	186	0
122200	536	360	186	0
122201	579	358	185	0
122202	620	357	185	0
122203	661	356	185	0
122204	704	356	184	0
122205	744	353	183	0
122206	786	352	183	0
122207	828	350	182	0
122208	872	347	182	0
122209	914	344	180	0
122210	954	340	179	0
122211	999	338	178	0
122212	1043	338	177	0
122213	1099	330	174	0
122214	1140	327	172	0
122215	1181	323	172	0
122216	1222	322	170	0
122217	1266	321	169	0
122218	1307	314	169	0
122219	1348	312	169	0
122220	1402	308	166	0
122221	1443	307	166	0
122222	1485	305	166	0
122223	1526	305	166	0
122224	1568	305	166	0
122225	1611	305	166	0
122226	1651	304	166	0
122227	1692	304	165	0
122228	1733	303	165	0
122229	1774	301	166	0
122230	1815	301	166	0
122231	1857	302	166	0
122232	1898	302	167	0
122233	1938	300	169	0
122234	1979	300	169	0
122235	2020	299	170	0
122236	2062	299	170	0
122237	2103	299	170	0
122238	2145	299	170	0
122239	2185	299	169	0
122240	2227	299	169	0
122241	2267	299	169	0
122242	2311	299	169	0
122243	2353	298	169	0
122244	2396	295	169	0
122245	2437	292	165	0
122246	2478	292	164	0
122247	2521	289	161	0
122248	2565	288	159	0
122249	2606	286	155	0
122250	2649	284	153	0
122251	2690	283	151	0
122252	2732	281	149	0
122253	2773	280	144	0
122254	2814	278	141	0
122255	2857	278	140	0
122256	2899	276	136	0
122257	2940	275	131	0
122258	2981	274	129	0
122259	3022	272	125	0
122260	3063	271	123	0
122261	3106	271	121	0
122262	3146	269	116	0
122263	3196	266	109	0
122264	3236	265	107	0
122265	3277	265	106	0
122266	3318	264	104	0
122267	3361	263	101	0
122268	3404	262	100	0
122269	3445	262	97	0
122270	3498	262	97	0
122271	3539	262	95	0
122272	3580	263	95	0
122273	3622	264	93	0
122274	3665	265	92	0
122275	3706	269	87	0
122276	3747	271	86	0
122277	3788	273	85	0
122278	3835	278	81	0
122279	3878	279	81	0
122280	3931	285	79	0
122281	3971	286	79	0
122282	4012	287	79	0
122283	4053	291	77	0
122284	4096	291	77	0
122285	4139	294	76	0
122286	4179	295	75	0
122287	4220	297	74	0
122288	4261	298	74	0
122289	4306	299	73	0
122290	4357	304	71	0
122291	4400	307	70	0
122292	4441	310	69	0
122293	4482	313	68	0
122294	4523	315	67	0
122295	4567	317	66	0
122296	4611	322	63	0
122297	4656	323	64	0
122298	4699	325	63	0
122299	4740	331	60	0
122300	4781	333	59	0
122301	4822	334	59	0
122302	4864	337	56	0
122303	4904	337	56	0
122304	4947	339	55	0
122305	4989	340	54	0
122306	5029	340	54	0
122307	5072	341	53	0
122308	5112	341	53	0
122309	5154	341	53	0
122310	5196	341	53	0
122311	5240	341	53	0
122312	5296	341	53	0
122313	5337	341	52	0
122314	5378	341	51	0
122315	5436	341	50	0
122316	5476	341	50	0
122317	5517	341	50	0
122318	5559	341	50	0
122319	5600	340	51	0
122320	5641	340	52	0
122321	5682	340	52	0
122322	5730	339	53	0
122323	5805	337	53	0
122324	5856	337	53	0
122325	5898	336	53	0
122326	5939	334	52	0
122327	5980	333	52	0
122328	6022	333	52	0
122329	6064	332	53	0
122330	6104	331	54	0
122331	6146	330	54	0
122332	6187	329	55	0
122333	6228	328	55	0
122334	6270	327	55	0
122335	6311	324	57	0
122336	6354	323	58	0
122337	6396	323	58	0
122338	6441	323	58	0
122339	6489	323	58	0
122340	6533	323	58	0
122341	6574	321	58	0
122342	6615	319	58	0
122343	6656	317	58	0
122344	6698	315	58	0
122345	6739	311	58	0
122346	6780	311	58	0
122347	6821	310	58	0
122348	6865	310	58	0
122349	6908	308	58	0
122350	6949	308	58	0
122351	6993	308	58	0
122352	7035	308	58	0
122353	7076	308	58	0
122354	7117	308	58	0
122355	7163	306	56	0
122356	7204	306	56	0
122357	7245	306	55	0
122358	7286	305	54	0
122359	7328	303	53	0
122360	7369	302	53	0
122361	7411	302	53	0
122362	7451	302	53	0
122363	7494	302	53	0
122364	7536	302	53	0
122365	7576	302	53	0
122366	7618	303	54	0
122367	7659	304	54	0
122368	7702	304	54	0
122369	7763	305	56	0
122370	7804	305	57	0
122371	7846	305	57	0
122372	7889	305	58	0
122373	7934	305	59	0
122374	7974	306	61	0
122375	8016	306	61	0
122376	8056	307	62	0
122377	8098	307	62	0
122378	8139	307	62	0
122379	8180	307	62	0
122380	8221	307	62	0
122381	8266	307	62	0
122382	8310	307	62	0
122383	8352	307	62	0
122384	8394	307	62	0
122385	8441	307	62	0
122386	8484	307	62	0
122387	8527	307	62	0
122388	8569	307	62	0
122389	8610	307	62	0
122390	8651	307	62	0
122391	8692	307	62	0
122392	8736	307	62	0
122393	8777	307	62	0
122394	8817	307	62	0
122395	8858	307	62	0
122396	8901	307	62	0
122397	8942	307	62	0
122398	9002	307	62	0
122399	9043	307	62	0
122400	9084	307	62	0
122401	9125	307	62	0
122402	9168	307	62	0
122403	9208	307	62	0
122404	9249	307	62	0
122405	9290	307	62	0
122406	9338	307	62	0
122407	9379	307	62	0
122408	9420	307	62	0
122409	9470	307	62	0
122410	9512	307	62	0
122411	9552	307	62	0
122412	9595	307	63	0
122413	9638	307	63	0
122414	9680	307	63	0
122415	9724	307	64	0
122416	9770	307	66	0
122417	9811	306	69	0
122418	9853	306	70	0
122419	9893	305	72	0
122420	9936	304	73	0
122421	9977	302	76	0
122422	10018	301	77	0
122423	10060	300	79	0
122424	10103	298	80	0
122425	10144	296	82	0
122426	10185	294	84	0
122427	10228	292	85	0
122428	10271	291	86	0
122429	10312	289	87	0
122430	10355	287	89	0
122431	10399	286	90	0
122432	10444	283	92	0
122433	10484	283	92	0
122434	10526	281	93	0
122435	10568	280	94	0
122436	10611	278	95	0
122437	10652	275	96	0
122438	10693	275	96	0
122439	10734	273	98	0
122440	10775	272	98	0
122441	10816	272	97	0
122442	10858	272	97	0
122443	10899	272	97	0
122444	10940	272	97	0
122445	10981	273	97	0
122446	11022	273	97	0
122447	11067	272	97	0
122448	11107	272	97	0
122449	11148	272	97	0
122450	11189	272	97	0
122451	11232	272	97	0
122452	11273	272	97	0
122453	11314	272	97	0
122454	11357	272	97	0
122455	11400	272	97	0
122456	11444	272	97	0
122457	11486	272	97	0
122458	11529	272	97	0
122459	11570	272	97	0
122460	11629	272	97	0
122461	11670	272	97	0
122462	11712	272	97	0
122463	11752	272	97	0
122464	11794	272	97	0
122465	11835	272	97	0
122466	11876	269	99	0
122467	11917	268	100	0
122468	11959	265	102	0
122469	12005	263	103	0
122470	12045	258	105	0
122471	12097	253	107	0
122472	12140	252	107	0
122473	12181	248	109	0
122474	12223	246	110	0
122475	12263	246	110	0
122476	12308	243	111	0
122477	12349	241	112	0
122478	12390	241	112	0
122479	12433	241	112	0
122480	12475	241	112	0
122481	12515	241	112	0
122482	12556	241	112	0
122483	12597	240	112	0
122484	12642	240	112	0
122485	12697	239	111	0
122486	12762	236	111	0
122487	12804	236	110	0
122488	12845	234	110	0
122489	12886	234	108	0
122490	12930	231	107	0
122491	12971	227	105	0
122492	13012	225	103	0
122493	13053	224	102	0
122494	13094	223	100	0
122495	13138	222	99	0
122496	13179	220	97	0
122497	13220	220	97	0
122498	13264	219	97	0
122499	13305	219	97	0
122500	13346	219	97	0
122501	13387	219	97	0
122502	13430	219	97	0
122503	13473	219	97	0
122504	13523	219	97	0
122505	13564	219	97	0
122506	13605	219	97	0
122507	13648	219	96	0
122508	13698	219	95	0
122509	13739	219	95	0
122510	13780	219	95	0
122511	13825	219	95	0
122512	13868	219	95	0
122513	13908	219	95	0
122514	13949	219	95	0
122515	13992	219	95	0
122516	14036	219	95	0
122517	14077	219	95	0
122518	14119	219	95	0
122519	14171	219	95	0
122520	14211	219	95	0
122521	14252	219	95	0
122522	14296	219	95	0
122523	14339	219	95	0
122524	14380	219	95	0
122525	14422	219	95	0
122526	14464	219	95	0
122527	14505	219	95	0
122528	14546	219	95	0
122529	14587	219	95	0
122530	14628	219	95	0
122531	14672	219	95	0
122532	14713	219	95	0
122533	14756	217	94	0
122534	14799	217	94	0
122535	14865	218	95	0
122536	14906	218	95	0
122537	14946	218	95	0
122538	14987	218	95	0
122539	15030	218	95	0
122540	15074	218	95	0
122541	15115	218	95	0
122542	15158	218	95	0
122543	15199	218	95	0
122544	15244	218	95	0
122545	15285	218	95	0
122546	15326	218	95	0
122547	15369	218	95	0
122548	15411	218	95	0
122549	15451	218	95	0
122550	15492	218	95	0
122551	15534	218	95	0
122552	15576	218	95	0
122553	15623	218	95	0
122554	15666	218	95	0
122555	15707	218	95	0
122556	15770	218	95	0
122557	15811	218	95	0
122558	15856	218	95	0
122559	15898	218	95	0
122560	15942	218	95	0
122561	15993	218	95	0
122562	16036	218	95	0
122563	16077	218	95	0
122564	16118	219	95	0
122565	16163	218	94	0
122566	16205	218	95	0
122567	16246	218	94	0
122568	16288	218	94	0
122569	16331	218	94	0
122570	16372	218	94	0
122571	16413	218	94	0
122572	16455	217	94	0
122573	16497	217	94	0
122574	16538	217	94	0
122575	16579	217	94	0
122576	16621	217	94	0
122577	16667	217	94	0
122578	16708	217	94	0
122579	16748	217	94	0
122580	16797	217	94	0
122581	16839	217	94	0
122582	16885	217	94	0
122583	16926	218	95	0
122584	16970	218	95	0
122585	17013	218	95	0
122586	17054	218	95	0
122587	17097	218	95	0
122588	17140	218	95	0
122589	17181	219	95	0
122590	17222	219	95	0
122591	17267	219	95	0
122592	17308	219	95	0
122593	17349	219	95	0
122594	17391	219	95	0
122595	17432	219	95	0
122596	17474	219	95	0
122597	17515	219	95	0
122598	17556	219	95	0
122599	17600	219	95	0
122600	17654	219	95	0
122601	17697	219	95	0
122602	17740	219	95	0
122603	17781	219	95	0
122604	17823	219	95	0
122605	17864	219	95	0
122606	17906	219	95	0
122607	17947	219	95	0
122608	17988	219	95	0
122609	18030	219	95	0
122610	18073	219	95	0
122611	18116	219	95	0
122612	18157	219	95	0
122613	18201	219	95	0
122614	18247	219	95	0
122615	18298	219	95	0
122616	18339	219	95	0
122617	18380	219	95	0
122618	18422	219	95	0
122619	18464	219	95	0
122620	18504	219	95	0
122621	18553	219	95	0
122622	18594	219	95	0
122623	18639	219	95	0
122624	18680	219	95	0
122625	18721	219	95	0
122626	18765	219	95	0
122627	18807	219	95	0
122628	18901	219	95	0
122629	18958	219	95	0
122630	19000	219	95	0
122631	19042	219	95	0
122632	19083	219	95	0
122633	19124	219	95	0
122634	19168	219	95	0
122635	19229	219	95	0
122636	19269	219	95	0
122637	19310	219	95	0
122638	19351	219	95	0
122639	19392	219	95	0
122640	19435	219	95	0
122641	19478	219	95	0
122642	19520	219	95	0
122643	19562	219	95	0
122644	19604	220	95	0
122645	19703	220	96	0
122646	19756	221	96	0
122647	19797	220	97	0
122648	19840	220	97	0
122649	19881	220	97	0
122650	19925	220	97	0
122651	19968	220	98	0
122652	20008	220	98	0
122653	20050	220	98	0
122654	20091	220	98	0
122655	20134	220	99	0
122656	20176	220	99	0
122657	20216	220	99	0
122658	20265	220	99	0
122659	20308	220	99	0
122660	20349	220	100	0
122661	20390	220	99	0
122662	20436	220	99	0
122663	20477	220	99	0
122664	20519	220	99	0
122665	20562	220	99	0
122666	20604	220	99	0
122667	20647	220	99	0
122668	20690	220	99	0
122669	20736	220	99	0
122670	20785	220	99	0
122671	20825	220	99	0
122672	20869	220	99	0
122673	20911	220	99	0
122674	20951	220	99	0
122675	20993	220	99	0
122676	21039	220	99	0
122677	21088	220	99	0
122678	21130	220	99	0
122679	21173	220	99	0
122680	21217	220	99	0
122681	21257	220	99	0
122682	21302	220	99	0
122683	21344	220	99	0
122684	21384	220	99	0
122685	21426	220	99	0
122686	21468	220	99	0
122687	21509	220	99	0
122688	21558	220	99	0
122689	21602	220	99	0
122690	21642	220	99	0
122691	21683	220	99	0
122692	21724	220	99	0
122693	21770	220	99	0
122694	21813	220	100	0
122695	21854	220	99	0
122696	21896	220	100	0
122697	21937	220	100	0
122698	21980	220	100	0
122699	22021	220	100	0
122700	22064	220	100	0
122701	22104	220	100	0
122702	22145	220	100	0
122703	22203	220	100	0
122704	22243	220	100	0
122705	22286	220	100	0
122706	22329	220	100	0
122707	22370	220	100	0
122708	22411	220	100	0
122709	22453	220	100	0
122710	22494	220	100	0
122711	22535	219	100	0
122712	22577	219	99	0
122713	22617	218	99	0
122714	22660	216	100	0
122715	22704	215	100	0
122716	22744	212	100	0
122717	22786	210	100	0
122718	22831	209	100	0
122719	22871	206	101	0
122720	22913	206	101	0
122721	22953	206	101	0
122722	22994	206	101	0
122723	23035	206	101	0
122724	23076	206	101	0
122725	23117	206	101	0
122726	23158	206	101	0
122727	23200	206	101	0
122728	23241	206	101	0
122729	23283	206	101	0
122730	23323	206	101	0
122731	23368	206	101	0
122732	23411	206	101	0
122733	23452	206	101	0
122734	23496	206	101	0
122735	23544	206	101	0
122736	23597	206	101	0
122737	23637	205	101	0
122738	23678	205	101	0
122739	23721	205	100	0
122740	23764	205	100	0
122741	23806	205	99	0
122742	23848	205	98	0
122743	23889	205	98	0
122744	23931	205	97	0
122745	23973	206	97	0
122746	24014	206	97	0
122747	24055	207	97	0
122748	24100	208	97	0
122749	24171	211	96	0
122750	24211	211	96	0
122751	24252	211	96	0
122752	24293	211	96	0
122753	24335	211	96	0
122754	24385	211	96	0
122755	24427	211	96	0
122756	24471	211	96	0
122757	24513	211	96	0
122758	24553	211	96	0
122759	24603	211	96	0
122760	24666	212	96	0
122761	24707	212	96	0
122762	24748	212	96	0
122763	24789	212	96	0
122764	24834	211	97	0
122765	24875	211	97	0
122766	24916	211	97	0
122767	24972	211	97	0
122768	25012	211	97	0
122769	25053	211	97	0
122770	25096	211	97	0
122771	25138	211	97	0
122772	25179	211	97	0
122773	25220	211	97	0
122774	25266	211	97	0
122775	25306	211	96	0
122776	25347	211	96	0
122777	25388	211	96	0
122778	25429	211	96	0
122779	25470	210	96	0
122780	25511	210	95	0
122781	25563	208	96	0
122782	25603	207	94	0
122783	25650	207	94	0
122784	25691	207	93	0
122785	25732	206	91	0
122786	25773	206	91	0
122787	25815	206	91	0
122788	25856	206	90	0
122789	25897	206	90	0
122790	25941	206	90	0
122791	25982	206	90	0
122792	26023	206	89	0
122793	26064	206	88	0
122794	26106	205	86	0
122795	26170	204	85	0
122796	26210	204	84	0
122797	26251	204	84	0
122798	26292	204	84	0
122799	26337	204	84	0
122800	26378	204	83	0
122801	26419	204	83	0
122802	26465	205	84	0
122803	26533	205	84	0
122804	26584	204	84	0
122805	26635	203	84	0
122806	26676	202	84	0
122807	26717	202	84	0
122808	26758	202	84	0
122809	26801	203	84	0
122810	26842	200	85	0
122811	26883	200	85	0
122812	26924	200	85	0
122813	26970	200	85	0
122814	27013	200	85	0
122815	27055	200	85	0
122816	27096	200	85	0
122817	27140	200	85	0
122818	27181	201	85	0
122819	27223	200	85	0
122820	27266	200	85	0
122821	27308	200	86	0
122822	27348	199	87	0
122823	27389	198	87	0
122824	27430	198	87	0
122825	27476	197	88	0
122826	27517	195	89	0
122827	27559	195	89	0
122828	27599	194	89	0
122829	27640	194	89	0
122830	27687	194	89	0
122831	27731	194	89	0
122832	27772	194	89	0
122833	27814	194	89	0
122834	27854	194	89	0
122835	27895	194	89	0
122836	27938	194	89	0
122837	27979	194	89	0
122838	28030	194	89	0
122839	28074	194	89	0
122840	28115	194	89	0
122841	28157	194	89	0
122842	28198	194	89	0
122843	28241	194	89	0
122844	28282	194	89	0
122845	28323	194	89	0
122846	28364	194	89	0
122847	28405	194	89	0
122848	28446	194	89	0
122849	28487	194	89	0
122850	28532	194	89	0
122851	28574	194	89	0
122852	28635	194	89	0
122853	28680	194	89	0
122854	28721	194	89	0
122855	28769	194	89	0
122856	28810	194	89	0
122857	28851	194	89	0
122858	28894	194	89	0
122859	28938	194	89	0
122860	28979	194	89	0
122861	29020	194	89	0
122862	29061	194	89	0
122863	29103	194	89	0
122864	29143	194	89	0
122865	29184	194	89	0
122866	29227	194	89	0
122867	29269	194	89	0
122868	29311	194	89	0
122869	29361	194	89	0
122870	29402	194	89	0
122871	29445	194	89	0
122872	29486	194	89	0
122873	29531	194	89	0
122874	29571	194	89	0
122875	29612	194	89	0
122876	29653	194	89	0
122877	29702	194	89	0
122878	29743	194	89	0
122879	29784	194	89	0
122880	29825	194	89	0
122881	29870	194	89	0
