frame	time	x	y	burst
143913	38	92	340	0
143914	84	92	340	0
143915	128	92	340	0
143916	169	92	340	0
143917	227	92	340	0
143918	270	91	340	0
143919	311	88	340	0
143920	367	84	340	0
143921	429	84	340	0
143922	470	84	340	0
143923	511	85	340	0
143924	560	85	341	0
143925	631	86	343	0
143926	732	90	346	0
143927	799	94	348	0
143928	863	96	349	0
143929	904	99	351	0
143930	946	100	352	0
143931	990	102	354	0
143932	1035	103	355	0
143933	1076	107	355	0
143934	1120	109	355	0
143935	1166	112	355	0
143936	1212	114	355	0
143937	1262	116	355	0
143938	1326	117	356	0
143939	1367	117	356	0
143940	1409	117	356	0
143941	1453	119	356	0
143942	1495	121	357	0
143943	1537	121	357	0
143944	1578	123	358	0
143945	1630	125	359	0
143946	1671	127	359	0
143947	1713	128	359	0
143948	1754	128	359	0
143949	1798	130	359	0
143950	1839	134	360	0
143951	1881	136	361	0
143952	1925	137	361	0
143953	1967	141	362	0
143954	2009	145	363	0
143955	2050	149	365	0
143956	2095	151	365	0
143957	2136	158	369	0
143958	2177	161	370	0
143959	2220	163	371	0
143960	2263	167	374	0
143961	2369	177	380	0
143962	2431	180	384	0
143963	2472	182	386	0
143964	2513	185	388	0
143965	2560	189	392	0
143966	2605	190	393	0
143967	2648	192	394	0
143968	2691	195	396	0
143969	2732	198	397	0
143970	2774	204	397	0
143971	2816	206	396	0
143972	2863	209	396	0
143973	2906	216	397	0
143974	2947	219	398	0
143975	2994	225	400	0
143976	3040	227	401	0
143977	3095	231	402	0
143978	3136	233	403	0
143979	3199	239	405	0
143980	3240	242	406	0
143981	3285	245	407	0
143982	3329	247	407	0
143983	3371	251	408	0
143984	3465	252	408	0
143985	3511	252	408	0
143986	3553	252	408	0
143987	3597	252	408	0
143988	3639	252	408	0
143989	3686	253	409	0
143990	3732	253	409	0
143991	3773	253	409	0
143992	3817	253	409	0
143993	3860	253	411	0
143994	3901	252	412	0
143995	3944	252	418	0
143996	3985	252	421	0
143997	4032	253	425	0
143998	4073	253	425	0
143999	4127	253	425	0
144000	4168	253	425	0
144001	4226	253	425	0
144002	4267	253	424	0
144003	4328	253	423	0
144004	4369	253	423	0
144005	4410	254	423	0
144006	4462	254	422	0
144007	4506	254	422	0
144008	4560	254	422	0
144009	4602	255	421	0
144010	4644	255	421	0
144011	4687	255	421	0
144012	4730	255	421	0
144013	4772	255	421	0
144014	4832	255	421	0
144015	4894	255	420	0
144016	4936	255	419	0
144017	4977	255	418	0
144018	5018	254	418	0
144019	5062	254	418	0
