frame	time	x	y	burst
37498	34	320	157	0
37499	109	323	155	0
37500	161	324	154	0
37501	240	327	151	0
37502	299	329	148	0
37503	366	331	146	0
37504	429	331	145	0
37505	493	333	143	0
37506	563	335	141	0
37507	618	336	140	0
37508	681	336	140	0
37509	742	336	140	0
37510	807	336	140	0
37511	863	336	140	0
37512	935	336	140	0
37513	991	336	140	0
37514	1057	336	140	0
37515	1126	336	140	0
37516	1181	336	140	0
37517	1237	336	140	0
37518	1295	336	140	0
37519	1355	336	140	0
37520	1423	336	140	0
37521	1492	336	140	0
37522	1562	336	140	0
37523	1616	336	140	0
37524	1679	336	140	0
37525	1740	336	140	0
37526	1796	336	140	0
37527	1863	336	140	0
37528	1917	336	140	0
37529	1977	336	140	0
37530	2035	336	140	0
37531	2095	336	140	0
37532	2154	336	139	0
37533	2222	336	139	0
37534	2292	336	138	0
37535	2352	336	138	0
37536	2414	336	138	0
37537	2476	336	138	0
37538	2533	336	138	0
37539	2592	336	138	0
37540	2652	336	138	0
37541	2710	336	138	0
37542	2768	336	138	0
37543	2828	336	138	0
37544	2903	336	137	0
37545	2959	336	137	0
37546	3025	336	135	0
37547	3102	336	135	0
37548	3165	336	134	0
37549	3231	336	133	0
37550	3296	336	131	0
37551	3357	336	130	0
37552	3417	336	127	0
37553	3478	336	124	0
37554	3536	335	122	0
37555	3597	335	119	0
37556	3661	334	116	0
37557	3732	334	114	0
37558	3789	334	112	0
37559	3857	334	110	0
37560	3922	333	109	0
37561	3980	333	107	0
37562	4042	333	106	0
37563	4109	333	104	0
37564	4171	332	104	0
37565	4229	332	104	0
37566	4286	332	104	0
37567	4345	332	104	0
37568	4405	332	104	0
37569	4471	332	104	0
37570	4534	332	104	0
37571	4592	332	103	0
37572	4656	332	103	0
37573	4713	332	103	0
37574	4795	332	103	0
37575	4859	332	103	0
37576	4913	332	103	0
37577	4975	332	103	0
37578	5046	332	103	0
37579	5102	332	102	0
37580	5161	332	101	0
37581	5228	332	101	0
37582	5305	332	101	0
37583	5367	332	101	0
37584	5425	332	101	0
37585	5485	332	101	0
37586	5544	332	101	0
37587	5611	332	101	0
37588	5674	332	101	0
37589	5730	331	101	0
37590	5793	330	101	0
37591	5866	327	98	0
37592	5931	326	98	0
37593	5986	323	96	0
37594	6046	321	95	0
37595	6113	318	92	0
37596	6173	316	91	0
37597	6233	313	89	0
37598	6300	310	86	0
37599	6362	309	85	0
37600	6430	305	82	0
37601	6491	302	79	0
37602	6556	299	76	0
37603	6626	296	74	0
37604	6696	293	71	0
37605	6751	293	70	0
37606	6810	291	68	0
37607	6873	287	65	0
37608	6945	285	62	0
37609	7005	283	59	0
37610	7073	281	55	0
37611	7129	279	52	0
37612	7197	277	48	0
37613	7258	275	45	0
37614	7325	275	45	0
37615	7394	275	45	0
37616	7461	275	45	0
37617	7524	275	45	0
37618	7579	275	45	0
37619	7638	275	45	0
37620	7697	275	45	0
37621	7761	275	45	0
37622	7823	275	45	0
37623	7884	275	45	0
37624	7944	274	44	0
37625	8006	274	44	0
37626	8083	274	43	0
37627	8143	274	43	0
37628	8204	274	43	0
37629	8263	274	43	0
37630	8336	274	43	0
37631	8397	274	43	0
37632	8459	274	43	0
37633	8528	274	43	0
37634	8584	274	43	0
37635	8649	274	43	0
37636	8705	274	43	0
37637	8763	274	43	0
37638	8827	274	43	0
37639	8893	274	43	0
37640	8959	274	43	0
37641	9027	274	44	0
37642	9081	274	45	0
37643	9153	274	46	0
37644	9210	274	46	0
37645	9273	273	47	0
37646	9326	271	49	0
37647	9386	271	50	0
37648	9452	271	53	0
37649	9513	271	57	0
37650	9571	272	60	0
37651	9629	274	63	0
37652	9689	275	66	0
37653	9745	277	68	0
37654	9805	278	71	0
37655	9866	279	76	0
37656	9922	281	80	0
37657	9982	282	82	0
37658	10061	283	86	0
37659	10129	285	92	0
37660	10197	287	97	0
37661	10262	289	101	0
37662	10325	290	103	0
37663	10382	292	107	0
37664	10442	293	111	0
37665	10516	295	113	0
37666	10574	296	116	0
37667	10631	297	117	0
37668	10695	297	119	0
37669	10755	298	120	0
37670	10814	298	121	0
37671	10891	298	123	0
37672	10955	299	128	0
37673	11024	299	130	0
37674	11092	299	134	0
37675	11150	299	136	0
37676	11209	299	142	0
37677	11274	300	145	0
37678	11341	300	148	0
37679	11407	300	151	0
37680	11487	300	152	0
37681	11558	300	157	0
37682	11615	300	161	0
37683	11672	301	164	0
37684	11732	301	169	0
37685	11791	301	173	0
37686	11864	302	177	0
37687	11931	302	180	0
37688	11993	302	186	0
37689	12054	303	189	0
37690	12125	303	193	0
37691	12189	303	197	0
37692	12247	303	204	0
37693	12303	303	207	0
37694	12363	303	211	0
37695	12421	302	216	0
37696	12492	302	218	0
37697	12554	301	225	0
37698	12615	300	230	0
