frame	time	x	y	burst
80200	46	289	80	0
80201	111	290	78	0
80202	173	291	73	0
80203	227	292	69	0
80204	299	292	68	0
80205	383	293	64	0
80206	448	293	59	0
80207	504	293	55	0
80208	576	293	54	0
80209	643	293	53	0
80210	713	293	53	0
80211	782	294	53	0
80212	848	294	53	0
80213	908	294	53	0
80214	981	294	53	0
80215	1035	294	53	0
80216	1094	294	53	0
80217	1163	294	53	0
80218	1221	294	53	0
80219	1280	294	53	0
80220	1366	294	53	0
80221	1431	294	54	0
80222	1498	294	54	0
80223	1553	294	55	0
80224	1613	293	56	0
80225	1680	294	56	0
80226	1747	295	56	0
80227	1803	295	57	0
80228	1867	294	58	0
80229	1927	294	58	0
80230	1989	294	59	0
80231	2076	294	60	0
80232	2129	293	62	0
80233	2200	293	64	0
80234	2266	293	66	0
80235	2325	293	69	0
80236	2384	292	71	0
80237	2451	292	75	0
80238	2507	292	80	0
80239	2576	292	82	0
80240	2638	290	90	0
80241	2699	290	94	0
80242	2759	290	98	0
80243	2844	290	100	0
80244	2911	293	107	0
80245	2977	297	110	0
80246	3046	302	113	0
80247	3118	304	115	0
80248	3184	306	117	0
80249	3241	308	119	0
80250	3310	308	119	0
80251	3379	309	120	0
80252	3434	310	121	0
80253	3494	310	121	0
80254	3552	310	121	0
80255	3613	310	121	0
80256	3675	310	121	0
80257	3740	310	121	0
80258	3806	310	121	0
80259	3891	310	121	0
80260	3949	309	120	0
80261	4016	309	120	0
80262	4076	309	120	0
80263	4137	308	119	0
80264	4199	308	120	0
80265	4273	307	120	0
80266	4331	306	120	0
80267	4391	303	122	0
80268	4445	304	122	0
80269	4512	301	124	0
80270	4569	301	124	0
80271	4631	301	124	0
80272	4694	301	124	0
80273	4764	301	124	0
80274	4832	299	125	0
80275	4907	297	126	0
80276	4974	294	127	0
80277	5034	292	128	0
80278	5093	290	129	0
80279	5163	286	131	0
80280	5218	286	131	0
80281	5277	286	131	0
80282	5353	286	131	0
80283	5436	285	131	0
80284	5506	285	130	0
80285	5571	283	126	0
80286	5650	283	124	0
80287	5711	283	124	0
80288	5788	282	122	0
80289	5858	282	122	0
80290	5930	282	121	0
80291	5992	282	122	0
80292	6065	282	122	0
80293	6139	282	122	0
80294	6202	282	122	0
80295	6257	282	122	0
80296	6318	282	122	0
80297	6385	281	121	0
80298	6443	281	121	0
80299	6511	281	121	0
