frame	time	x	y	burst
78173	39	375	91	0
78174	79	377	90	0
78175	120	379	89	0
78176	162	381	88	0
78177	203	382	87	0
78178	248	386	85	0
78179	290	386	84	0
78180	331	386	84	0
78181	371	386	84	0
78182	412	385	83	0
78183	454	383	83	0
78184	494	383	81	0
78185	535	382	80	0
78186	576	380	77	0
78187	630	379	72	0
78188	672	377	70	0
78189	713	377	68	0
78190	762	376	66	0
78191	804	376	64	0
78192	845	377	63	0
78193	904	377	63	0
78194	945	377	64	0
78195	987	378	64	0
78196	1029	378	64	0
78197	1073	379	64	0
78198	1133	379	66	0
78199	1174	380	66	0
78200	1218	380	68	0
78201	1260	380	68	0
78202	1301	380	68	0
78203	1344	381	68	0
78204	1385	382	70	0
78205	1427	383	71	0
78206	1468	383	72	0
78207	1509	384	74	0
78208	1556	383	74	0
78209	1598	383	75	0
78210	1669	383	76	0
78211	1733	383	76	0
78212	1774	382	76	0
78213	1814	382	76	0
78214	1855	381	77	0
78215	1899	380	78	0
78216	1942	379	80	0
78217	1983	380	80	0
78218	2027	379	81	0
78219	2069	379	82	0
78220	2111	378	84	0
78221	2155	377	87	0
78222	2198	378	87	0
78223	2238	378	90	0
78224	2279	377	93	0
78225	2323	377	94	0
78226	2367	377	95	0
78227	2408	378	97	0
78228	2450	378	97	0
78229	2492	378	97	0
78230	2536	379	97	0
78231	2576	379	97	0
78232	2616	378	97	0
78233	2657	379	97	0
78234	2701	378	97	0
78235	2764	379	97	0
78236	2805	379	97	0
78237	2845	379	97	0
78238	2886	379	97	0
78239	2931	378	97	0
78240	2981	378	97	0
78241	3022	379	98	0
78242	3067	378	97	0
78243	3131	378	97	0
78244	3171	378	97	0
78245	3212	378	97	0
78246	3253	379	98	0
78247	3295	379	98	0
78248	3335	379	98	0
78249	3375	379	98	0
78250	3430	379	98	0
78251	3470	379	98	0
78252	3531	379	98	0
78253	3571	379	98	0
78254	3612	379	98	0
78255	3653	379	98	0
78256	3703	379	98	0
78257	3744	379	98	0
78258	3787	379	98	0
78259	3828	379	98	0
78260	3872	378	97	0
78261	3913	378	99	0
78262	3954	378	99	0
78263	3996	378	100	0
78264	4038	379	103	0
78265	4079	379	107	0
78266	4126	379	110	0
78267	4168	379	112	0
78268	4209	380	117	0
78269	4252	380	120	0
78270	4292	380	123	0
78271	4338	380	125	0
78272	4379	378	130	0
78273	4420	377	132	0
78274	4471	376	137	0
78275	4511	376	139	0
78276	4553	376	139	0
78277	4593	376	139	0
78278	4636	376	139	0
78279	4677	376	139	0
78280	4718	377	138	0
78281	4760	377	137	0
78282	4801	379	136	0
78283	4842	380	136	0
78284	4883	381	136	0
78285	4932	382	135	0
78286	4973	383	134	0
78287	5015	384	133	0
78288	5056	386	130	0
78289	5099	387	130	0
78290	5143	390	127	0
78291	5185	392	126	0
78292	5227	394	125	0
78293	5273	396	123	0
78294	5314	399	121	0
78295	5364	401	120	0
78296	5405	402	119	0
78297	5451	404	117	0
78298	5492	405	117	0
78299	5534	406	116	0
78300	5575	408	115	0
78301	5616	409	115	0
78302	5669	410	114	0
78303	5711	410	114	0
78304	5765	410	113	0
78305	5806	409	112	0
78306	5847	408	112	0
78307	5888	407	110	0
78308	5930	407	109	0
78309	5971	405	106	0
78310	6013	404	104	0
78311	6069	401	101	0
78312	6133	399	98	0
78313	6177	397	95	0
78314	6228	396	94	0
78315	6269	394	89	0
78316	6310	393	87	0
78317	6351	392	85	0
78318	6392	391	82	0
78319	6436	390	80	0
78320	6481	389	78	0
78321	6534	388	75	0
78322	6574	387	71	0
78323	6615	387	71	0
78324	6664	387	72	0
78325	6704	387	73	0
78326	6746	387	74	0
78327	6786	387	74	0
78328	6827	387	75	0
78329	6871	385	77	0
78330	6915	385	79	0
78331	6956	384	81	0
78332	7003	381	85	0
78333	7049	379	87	0
78334	7090	377	90	0
78335	7132	375	91	0
78336	7173	372	95	0
78337	7214	370	96	0
78338	7255	367	99	0
78339	7303	366	101	0
78340	7365	364	106	0
78341	7405	363	108	0
78342	7446	361	110	0
78343	7487	361	111	0
78344	7531	356	115	0
78345	7572	355	116	0
78346	7613	352	117	0
78347	7654	351	118	0
78348	7702	345	120	0
78349	7742	342	121	0
78350	7787	339	122	0
78351	7829	337	123	0
78352	7873	334	123	0
78353	7916	329	124	0
78354	7964	326	125	0
78355	8007	323	126	0
78356	8108	314	129	0
78357	8158	313	129	0
78358	8204	310	130	0
78359	8247	307	133	0
78360	8289	305	136	0
78361	8330	304	137	0
78362	8371	300	141	0
78363	8412	300	142	0
78364	8453	297	145	0
78365	8494	295	146	0
78366	8538	294	148	0
78367	8579	292	151	0
78368	8620	289	154	0
78369	8661	287	155	0
78370	8704	286	157	0
78371	8745	283	161	0
78372	8786	280	164	0
78373	8828	281	166	0
78374	8871	280	169	0
78375	8933	278	177	0
78376	8974	277	180	0
78377	9015	277	182	0
78378	9056	277	184	0
78379	9098	275	191	0
78380	9139	274	194	0
78381	9180	274	196	0
78382	9221	273	199	0
78383	9264	272	201	0
78384	9308	271	205	0
78385	9357	271	209	0
78386	9398	271	211	0
78387	9439	269	216	0
78388	9481	269	219	0
78389	9523	268	221	0
78390	9566	266	224	0
78391	9639	264	232	0
78392	9688	264	233	0
78393	9732	263	235	0
78394	9774	263	237	0
78395	9815	262	241	0
78396	9864	261	245	0
78397	9908	261	246	0
78398	9950	260	247	0
78399	9991	260	247	0
78400	10035	260	247	0
78401	10078	257	248	0
78402	10124	255	247	0
78403	10165	255	246	0
78404	10206	252	246	0
78405	10246	250	245	0
78406	10288	249	245	0
78407	10330	245	246	0
78408	10371	242	246	0
78409	10412	240	246	0
78410	10453	237	247	0
78411	10494	234	248	0
78412	10539	232	248	0
78413	10585	227	249	0
78414	10626	225	250	0
78415	10671	224	251	0
78416	10732	218	254	0
78417	10773	217	255	0
78418	10814	215	258	0
78419	10855	215	259	0
78420	10896	216	260	0
78421	10937	215	262	0
78422	10979	214	265	0
78423	11020	213	267	0
78424	11065	213	268	0
78425	11107	212	271	0
78426	11149	214	272	0
78427	11189	215	272	0
78428	11232	216	275	0
78429	11275	217	276	0
78430	11315	219	279	0
78431	11357	220	281	0
78432	11398	221	284	0
78433	11441	223	289	0
78434	11483	223	291	0
78435	11523	224	293	0
78436	11567	224	295	0
78437	11609	225	298	0
78438	11653	225	300	0
78439	11696	226	303	0
78440	11739	226	304	0
78441	11780	226	308	0
78442	11831	226	310	0
78443	11874	226	313	0
78444	11915	225	314	0
78445	11955	224	315	0
78446	12001	223	317	0
78447	12043	222	321	0
78448	12083	221	324	0
78449	12131	222	324	0
78450	12172	220	329	0
78451	12214	220	331	0
78452	12271	219	334	0
78453	12313	219	340	0
78454	12366	219	344	0
78455	12406	219	346	0
78456	12447	219	349	0
78457	12488	219	352	0
78458	12536	219	354	0
78459	12577	219	358	0
78460	12619	219	359	0
78461	12659	219	359	0
78462	12704	219	359	0
78463	12768	219	356	0
78464	12810	219	355	0
78465	12852	219	354	0
78466	12901	218	352	0
78467	12945	218	351	0
78468	12987	218	350	0
78469	13028	218	349	0
78470	13091	218	349	0
78471	13133	216	347	0
78472	13174	214	345	0
78473	13217	214	344	0
78474	13257	214	343	0
78475	13299	215	342	0
78476	13344	216	341	0
78477	13391	219	339	0
78478	13435	219	337	0
78479	13475	221	334	0
78480	13517	221	333	0
78481	13557	222	331	0
78482	13619	224	329	0
78483	13661	225	326	0
78484	13706	225	325	0
78485	13746	228	321	0
78486	13788	229	318	0
78487	13832	230	317	0
78488	13931	235	311	0
78489	13973	237	309	0
78490	14014	239	307	0
78491	14055	240	306	0
78492	14096	242	304	0
78493	14143	244	301	0
78494	14200	249	295	0
78495	14241	250	294	0
78496	14298	253	290	0
78497	14365	256	286	0
78498	14407	258	284	0
78499	14450	260	281	0
78500	14492	260	280	0
78501	14537	261	278	0
78502	14578	263	275	0
78503	14620	265	271	0
78504	14661	265	269	0
78505	14706	265	267	0
78506	14747	266	263	0
78507	14799	268	259	0
78508	14839	268	257	0
78509	14881	269	253	0
78510	14921	269	253	0
78511	14964	270	251	0
78512	15005	271	249	0
78513	15064	272	246	0
78514	15168	276	244	0
78515	15220	278	244	0
78516	15262	279	243	0
78517	15307	282	242	0
78518	15349	285	240	0
78519	15389	287	239	0
78520	15430	288	238	0
78521	15471	290	236	0
78522	15512	291	234	0
78523	15553	292	232	0
78524	15595	292	230	0
78525	15639	293	228	0
78526	15681	294	224	0
78527	15723	295	222	0
78528	15764	296	219	0
78529	15807	296	218	0
78530	15848	298	213	0
78531	15889	299	211	0
78532	15934	299	210	0
78533	15975	300	205	0
78534	16016	300	203	0
78535	16058	300	201	0
78536	16098	299	199	0
78537	16139	299	194	0
78538	16182	299	192	0
78539	16231	299	186	0
78540	16271	299	184	0
78541	16312	299	181	0
78542	16353	299	178	0
78543	16395	299	176	0
78544	16439	300	173	0
78545	16483	300	170	0
78546	16525	300	169	0
78547	16565	300	166	0
78548	16606	300	161	0
78549	16663	300	157	0
78550	16704	301	155	0
78551	16746	301	153	0
78552	16786	302	150	0
78553	16827	302	149	0
78554	16872	302	144	0
78555	16912	302	142	0
78556	16953	303	141	0
78557	16994	304	140	0
78558	17041	304	139	0
78559	17097	306	134	0
78560	17137	307	134	0
78561	17179	308	133	0
78562	17219	308	131	0
78563	17262	309	129	0
78564	17304	309	127	0
78565	17345	310	123	0
78566	17387	310	122	0
78567	17432	310	119	0
78568	17476	310	117	0
78569	17518	310	115	0
78570	17565	308	113	0
78571	17605	307	112	0
78572	17647	306	112	0
78573	17687	304	110	0
78574	17736	302	107	0
78575	17776	301	105	0
78576	17817	301	104	0
78577	17859	299	102	0
78578	17903	298	99	0
78579	17944	296	96	0
78580	17986	296	94	0
78581	18027	295	91	0
78582	18071	295	87	0
78583	18111	295	85	0
