frame	time	x	y	burst
56501	37	75	201	0
56502	81	75	203	0
56503	122	74	205	0
56504	170	74	208	0
56505	215	73	211	0
56506	265	72	215	0
56507	307	72	216	0
56508	351	70	220	0
56509	394	70	222	0
56510	441	69	225	0
56511	490	68	228	0
56512	536	67	231	0
56513	578	67	235	0
56514	619	66	238	0
56515	666	66	240	0
56516	708	64	246	0
56517	750	64	248	0
56518	791	63	251	0
56519	834	63	253	0
56520	876	63	258	0
56521	937	64	263	0
56522	981	64	265	0
56523	1023	65	268	0
56524	1067	66	270	0
56525	1108	68	275	0
56526	1150	69	277	0
56527	1196	71	280	0
56528	1237	72	283	0
56529	1279	73	284	0
56530	1320	73	285	0
56531	1362	74	287	0
56532	1404	74	287	0
56533	1446	74	287	0
56534	1489	74	287	0
56535	1531	74	287	0
56536	1573	74	289	0
56537	1615	75	290	0
56538	1656	75	290	0
56539	1700	75	289	0
56540	1742	75	289	0
56541	1783	75	290	0
56542	1833	75	290	0
56543	1878	75	290	0
56544	1919	75	290	0
56545	1963	75	290	0
56546	2005	75	290	0
56547	2047	76	291	0
56548	2088	76	292	0
56549	2133	77	294	0
56550	2174	78	296	0
56551	2215	80	300	0
56552	2267	83	305	0
56553	2313	84	308	0
56554	2355	85	310	0
56555	2399	86	311	0
56556	2440	89	317	0
56557	2482	90	320	0
56558	2523	92	323	0
56559	2566	93	325	0
56560	2607	94	328	0
56561	2651	96	332	0
56562	2693	97	334	0
56563	2736	99	336	0
56564	2778	101	340	0
56565	2819	102	341	0
56566	2863	103	344	0
56567	2906	104	345	0
56568	2947	107	351	0
56569	2988	108	353	0
56570	3032	109	355	0
56571	3073	111	357	0
56572	3117	114	363	0
56573	3160	115	365	0
56574	3203	116	367	0
56575	3244	119	371	0
56576	3285	119	371	0
56577	3329	120	373	0
56578	3375	121	375	0
56579	3423	123	378	0
56580	3466	125	381	0
56581	3511	126	386	0
56582	3553	127	388	0
56583	3595	128	390	0
56584	3637	130	394	0
56585	3680	132	399	0
56586	3732	133	401	0
56587	3773	134	403	0
56588	3815	135	405	0
56589	3857	136	405	0
56590	3900	138	406	0
56591	3943	141	406	0
56592	3985	144	406	0
56593	4029	146	407	0
56594	4073	150	408	0
56595	4115	155	410	0
56596	4156	159	411	0
56597	4197	160	412	0
56598	4239	163	413	0
56599	4280	168	416	0
56600	4322	171	417	0
56601	4365	175	418	0
56602	4406	177	419	0
56603	4448	180	420	0
56604	4497	180	419	0
56605	4541	183	420	0
56606	4582	189	420	0
56607	4625	191	419	0
56608	4668	193	418	0
56609	4709	199	416	0
56610	4753	201	416	0
56611	4796	204	415	0
56612	4837	207	414	0
56613	4881	211	413	0
56614	4922	214	412	0
56615	4969	219	410	0
56616	5011	220	409	0
56617	5052	222	408	0
56618	5093	225	406	0
56619	5138	226	405	0
56620	5180	230	401	0
56621	5221	232	399	0
56622	5265	234	398	0
56623	5306	236	396	0
56624	5347	238	395	0
56625	5391	239	394	0
56626	5434	243	391	0
56627	5475	245	390	0
56628	5517	247	388	0
