[1] Speed Table:
       speeds   group
89    536.9 rut2080
90    458.8 rut2080
91    738.9 rut2080
92    321.4 rut2080
93    646.3 rut2080
94    478.4 rut2080
95    485.2 rut2080
96    406.9 rut2080
97    530.7 rut2080
98    421.0 rut2080
99    366.5 rut2080
100   428.2 rut2080
[1] Walk Table:
    walks   group
1      23      CS
2      11      CS
3      10      CS
4      18      CS
5      14      CS
6      13      CS
7      12      CS
8      46      CS
9      21      CS
10      6      CS
11     10      CS
12     47      CS
13      6      CS
14     44      CS
15     10      CS
16      3      CS
17     47      CS
18      2      CS
19      0      CS
20      7      CS
21      2  dunce1
22     25  dunce1
23     28  dunce1
24      9  dunce1
25      2  dunce1
26      3  dunce1
27      0  dunce1
28     10  dunce1
29      5  dunce1
30      0  dunce1
31     10  dunce1
32      4  dunce1
33      3  dunce1
34     10  dunce1
35     22  dunce1
36      2  dunce1
37     20  dunce1
38     24  dunce1
39      3  dunce1
40      0  dunce1
41      5  radish
42      8  radish
43     14  radish
44      7  radish
45      6  radish
46     27  radish
47     19  radish
48      5  radish
49      1  radish
50     15  radish
51      7  radish
52      0  radish
53      0  radish
54      5  radish
55      4  radish
56      6  radish
57      2  radish
58      2  radish
59      2  radish
60      0  radish
61      1    rut1
62      3    rut1
63      0    rut1
64     14    rut1
65      5    rut1
66      7    rut1
67      5    rut1
68      1    rut1
69     11    rut1
70      5    rut1
71      2    rut1
72      0    rut1
73      0    rut1
74      0    rut1
75      0    rut1
76      4    rut1
77      5    rut1
78      1    rut1
79      3    rut1
80      3    rut1
81     17 rut2080
82     20 rut2080
83     14 rut2080
84     18 rut2080
85     24 rut2080
86     12 rut2080
87     20 rut2080
88     32 rut2080
89     23 rut2080
90     32 rut2080
91     50 rut2080
92      6 rut2080
93     38 rut2080
94     21 rut2080
95     30 rut2080
96     13 rut2080
97     18 rut2080
98      8 rut2080
99     22 rut2080
100    19 rut2080
[1] Activity Table:
    sum_act median_act median_pause number_pause             id   group
1     515.0  1.1000001     1.100000          163     100_cstpw1      CS
2     292.2  1.1500001     1.500000          112     101_cstpw2      CS
3     307.8  0.5000000     1.500000          206     102_cstpw3      CS
4     524.5  1.0000000     1.300000          149     103_cstpw4      CS
5     269.9  0.3999999     2.000000          151     104_cstpw5      CS
6     419.7  0.5000000     1.550000          146     105_cstpw6      CS
7     314.8  0.6500000     1.700000          148     106_cstpw7      CS
8     614.6  0.5999999     1.000000          106     107_cstpw8      CS
9     558.2  1.3000000     1.050000          168     108_cstpw9      CS
10    282.0  0.8000000     1.400000          206    109_cstpw10      CS
11    277.1  0.5000000     1.500000          181    110_cstpw11      CS
12    672.7  1.2000000     1.200000          109    111_cstpw12      CS
13    278.6  0.5999999     1.300000          225    112_cstpw13      CS
14    676.5  1.0000000     1.300000          107    113_cstpw14      CS
15    346.1  0.4500000     1.600000          180    114_cstpw15      CS
16    198.0  0.5000000     1.900000          120    115_cstpw16      CS
17    773.3  2.5000000     1.100000           73    116_cstpw17      CS
18    232.8  0.4000001     1.500000          147    117_cstpw18      CS
19    271.7  0.5000000     1.100000          280    118_cstpw19      CS
20    255.7  0.5000000     1.450000          160    119_cstpw20      CS
21    243.2  0.5999999     1.500000          230      120_dncw1  dunce1
22    642.6  0.9000000     1.200000          108      121_dncw2  dunce1
23    466.9  0.5000000     1.300000          137      122_dncw3  dunce1
24    372.0  0.5000000     1.400000          202      123_dncw4  dunce1
25    204.6  0.7000000     1.700000          116      124_dncw5  dunce1
26    186.4  0.7000000     1.400000           97      125_dncw6  dunce1
27    204.2  0.5000000     1.600000          154      126_dncw7  dunce1
28    293.9  0.6000001     1.200000          149      127_dncw8  dunce1
29    420.9  0.7000000     1.300000          189      128_dncw9  dunce1
30    151.5  0.7500000     1.900000          120     129_dncw10  dunce1
31    360.7  0.6000001     1.100000          219     130_dncw11  dunce1
32    459.9  1.2500000     1.050000          190     131_dncw12  dunce1
33    215.7  0.5000000     1.500000          161     132_dncw13  dunce1
34    258.3  0.4000001     1.200000          122     133_dncw14  dunce1
35    578.8  1.1000001     1.400000          135     134_dncw15  dunce1
36    181.5  0.7500000     1.700000          118     135_dncw16  dunce1
37    376.7  0.6500000     1.900000          172     136_dncw17  dunce1
38    589.6  0.9000001     1.300000          115     137_dncw18  dunce1
39    356.2  0.8000000     0.950000          142     138_dncw19  dunce1
40    197.0  0.5000000     1.200000          181     139_dncw20  dunce1
41    282.9  0.6000001     1.400000          225      140_rshw1  radish
42    361.4  0.7000000     1.700000          154      141_rshw2  radish
43    451.0  0.6000001     1.200000          269      142_rshw3  radish
44    297.5  0.5000000     1.100000          217      143_rshw4  radish
45    370.7  0.8000000     1.100000          221      144_rshw5  radish
46    515.2  0.8000000     1.100000          218      145_rshw6  radish
47    591.6  1.2000000     1.000000          216      146_rshw7  radish
48    331.1  0.5999999     1.200000          289      147_rshw8  radish
49    253.8  0.5999999     1.500000          264      148_rshw9  radish
50    493.6  1.0000000     1.600000          191     149_rshw10  radish
51    259.3  0.5000000     1.100000          215     150_rshw11  radish
52    274.6  0.5000000     1.400000          290     151_rshw12  radish
53    199.2  0.4000001     1.100000          213     152_rshw13  radish
54    295.5  0.7000000     1.500000          214     153_rshw14  radish
55    263.7  0.7000000     1.300000          155     154_rshw15  radish
56    282.0  0.7000000     1.500000          203     155_rshw16  radish
57    261.1  0.5000000     1.300000          260     156_rshw17  radish
58    286.3  0.6999998     1.200000          253     157_rshw18  radish
59    326.0  0.6999998     1.100000          308     158_rshw19  radish
60    215.2  0.5000000     1.400000          241     159_rshw20  radish
61    199.8  0.4000001     1.400000          139     160_rut1w1    rut1
62    180.7  0.3500000     1.100000          144     161_rut1w2    rut1
63    173.4  0.2000000     1.500000          230     162_rut1w3    rut1
64    440.1  0.5000000     1.300000          224     163_rut1w4    rut1
65    242.6  0.5000000     1.350000          206     164_rut1w5    rut1
66    258.1  0.5500000     1.650000          176     165_rut1w6    rut1
67    300.8  0.4000000     1.500000          220     166_rut1w7    rut1
68    257.4  0.4000001     1.200000          239     167_rut1w8    rut1
69    335.1  0.5999999     1.450000          202     168_rut1w9    rut1
70    289.5  0.4000001     1.700000          229    169_rut1w10    rut1
71    141.3  0.5000000     1.400000          107    170_rut1w11    rut1
72    151.8  0.5000000     1.300000          178    171_rut1w12    rut1
73    129.6  0.4000000     1.400000          144    172_rut1w13    rut1
74    202.1  0.5000000     1.300000          261    173_rut1w14    rut1
75    147.7  0.4000000     1.300000          202    174_rut1w15    rut1
76    219.8  0.4000001     1.500000          208    175_rut1w16    rut1
77    215.2  0.5000000     1.850000          186    176_rut1w17    rut1
78    228.7  0.5000000     1.300000          233    177_rut1w18    rut1
79    385.4  0.5999999     1.300000          245    178_rut1w19    rut1
80    346.4  0.6000001     1.100000          307    179_rut1w20    rut1
81    338.7  1.1000001     1.600000          184  180_rut2080w1 rut2080
82    378.1  1.2000000     1.500000          200  181_rut2080w2 rut2080
83    431.6  1.7000000     1.800000          153  182_rut2080w3 rut2080
84    360.0  0.7000000     1.300000          259  183_rut2080w4 rut2080
85    470.9  1.5000000     1.500000          201  184_rut2080w5 rut2080
